username,created_at,lng,lat,text,,,,
dallostaa, Tue Jan 26 22:42:11 +0000 2021,-118.411907,34.020789, Also the Tesla stock people in my TL are looking super cultish. ,,,,
HisFairLadybug, Tue Jan 26 22:48:07 +0000 2021,-79.857363,36.090397, CMON LADY KALI WATERTON OF TESLA!!!!! ,,,,
quistalktoem, Tue Jan 26 22:48:17 +0000 2021,-118.411907,34.020789, I need that ,,,,
MichaelMaiello, Tue Jan 26 22:54:53 +0000 2021,-70.292545,43.696187, Does anybody remember that @elonmusk promised to stop manipulating stocks on Twitter after he lied about taking Tes… https://t.co/n0UpumKHti ,,,,
jeeeeeeen97, Tue Jan 26 22:58:50 +0000 2021,-119.306608,37.269176, I kinda want a Tesla but purchasing a new car isn’t necessary ,,,,
FOCUS_ON_RISK, Tue Jan 26 23:03:55 +0000 2021,-119.306608,37.269176, @charliebilello Tesla, SpaceX, The BoringCompany, Neuralink, &amp; OpenAI... It will be called https://t.co/crIKRKMCXP 
SamoBurja, Tue Jan 26 23:04:07 +0000 2021,-8.565745,37.622307, Indeed. Perhaps the ability to ward off short sellers through dedicated fans, was a social technology innovation by… https://t.co/E1cQpdDDYQ ,,,
stefanoa99, Tue Jan 26 23:04:24 +0000 2021,4.904053,52.354728, @occammamt @Happy4Trigger @kryptondaddy @ziozetti @rovatz @indiepatico @MeryPavoni @maritosenzacena Non fanno più c… https://t.co/L5gIFVqhke ,,,,
map_major, Tue Jan 26 23:06:24 +0000 2021,-111.635149,35.18275, Gamestop is gonna be bigger than Tesla in like 2 weeks ,,,,
Genewhitney63, Tue Jan 26 23:07:52 +0000 2021,-75.044598,42.455729, #Tesla #TSLA ACCUMULATE....... TESLA https://t.co/yWHutXiQt0 ,,,,
KUNECTED, Tue Jan 26 23:16:42 +0000 2021,-84.352444,33.943457, I’ve made more money on Robin Hood this month than I made last year. Even on those Tesla plays. Thanks to $Tesla $LXRX $F and $GME 💎🙌 ,,,,
wady, Tue Jan 26 23:19:33 +0000 2021,139.810157,35.645061, Tesla Groupにして、SpaceX、Boring Company、Neuralinkも含めると…5年以内にApple超える時価総額になる気もするw ,,,,
SeattleWXGuy, Tue Jan 26 23:20:56 +0000 2021,-119.306608,37.269176, #tesla ,,,,
DanielPiraino, Tue Jan 26 23:24:48 +0000 2021,-80.149173,26.150368, Need to get this one added to the emissions menu in the #Tesla - Sharted Scene HD https://t.co/ERBRzyf5Pl via @YouTube ,,,,
calummcburney, Tue Jan 26 23:27:27 +0000 2021,-5.928413,54.595869, @ARKInvest coming in clutch once again.18% of urban miles travelled are anticipated to be by autonomous car in 20… https://t.co/GdZ8h0KbGJ ,,,,
enriq003, Tue Jan 26 23:28:53 +0000 2021,-89.266508,39.7393, @Abstract_Ocean @Tesla Did you ask them to fix it before or after sharing the picture? ,,,,
TeslaGong, Tue Jan 26 23:30:16 +0000 2021,150.858905,-34.439971, @Rjdlandscapes @elonmusk @Jason @Tesla How true !!!!! ,,,,
dogsoftesla, Tue Jan 26 23:33:02 +0000 2021,-117.104989,32.810012, @elonmusk ✨💚 T I N K S 💚✨This 10 month old pup needs a new home. He’s in San Diego and has been with his foster f… https://t.co/CPpXBywMAJ ,,,,
paulbraren, Tue Jan 26 23:33:34 +0000 2021,-72.66277,41.699325, @kimpaquette @MarkGabbs Poking around Google maps and Supercharger directories and coming up with the Hyannis locat… https://t.co/77W1kaChKK ,,,,
stewbert, Tue Jan 26 23:33:35 +0000 2021,-77.275953,18.115407, https://t.co/vUZ49dpgE3 ,,,,
_PerKINsON, Tue Jan 26 23:36:09 +0000 2021,-97.494053,32.836194, Oloshi ni bobo tesla yen ,,,,
mostviraltoday, Tue Jan 26 23:37:15 +0000 2021,0.13187,51.443846, Does every Tesla model come with this supernatural powers?.One question, How? 😳👻👀 https://t.co/oIbMgvQlNd ,,,
LeeJay14_, Tue Jan 26 23:38:21 +0000 2021,-117.263499,32.958928, @MGRLuhJugo Lol Elon has literally tweeted “Tesla stock too high right now” and it drops like crazy 😂😂 ,,,,
J_TRVP_Official, Tue Jan 26 23:41:33 +0000 2021,-63.853595,6.030371, Tesla murió en soledad y pobreza pero conforme consigo mismo ,,,,
i1Tesla, Tue Jan 26 23:45:52 +0000 2021,-80.864556,35.568434, @YogiSC1127 No, we consulted several companies including Tesla, but we went with Tayco Electric because there is a… https://t.co/PlZRwx1ErG ,,
Lanalikethat, Tue Jan 26 23:49:35 +0000 2021,-122.044814,37.592159, GTFOH RAP SNACKS 😑 ,,,,
RipBubbaz, Tue Jan 26 23:52:29 +0000 2021,-88.838595,35.644325, @elonmusk hear me out. 1v1 boxfight me, winner gets a Tesla #tesla #ElonMusk #biden #2021year #memes ,,,
ant_dawg95, Tue Jan 26 23:54:06 +0000 2021,-104.922093,39.713563, @younginfluence_ Tesla and Apple announce their numbers Wednesday for the year. Stay tuned ,,,,
PartyPrat, Tue Jan 26 23:54:38 +0000 2021,-123.123581,49.257639, The real trickle down economics is the rigging of the markets now being decentralized, manifested by those who beca… https://t.co/gf00TnTgrE ,,,
exposer_ii, Tue Jan 26 23:58:50 +0000 2021,-86.243193,15.201132, @tessmaradiaga @SalvaPresidente @elotroheroe007 @LeninEnriqueHn Señorita Tesla, ya que decide interactuar conmigo,… https://t.co/AusS5le1fE ,,
israelashley, Wed Jan 27 00:03:35 +0000 2021,-122.678249,45.518237, Persephone’s first snow day! She was a little scared, but only because she cares so much about me. 🥰🚘 #Tesla… https://t.co/ueEkNjoR4M ,,,
Genewhitney63, Wed Jan 27 00:07:07 +0000 2021,-75.770041,42.746617, #TSLA #TeslaTesla Q &amp; AQ4 2020https://t.co/uRTJkqi12T ,,,,
OhMaiMiller, Wed Jan 27 00:10:26 +0000 2021,-80.667662,28.27564, @samsonusmc @Tesla https://t.co/bAL9tlgpls ,,,,
Genewhitney63, Wed Jan 27 00:13:20 +0000 2021,-75.770041,42.746617, Question for @Tesla: What is currently holding Tesla back from being the market share leader in solar?… https://t.co/yAixy0W3zx ,,,,
Genewhitney63, Wed Jan 27 00:14:09 +0000 2021,-75.770041,42.746617, Question for @Tesla: Why are you confident Tesla will achieve level 5 autonomy in 2021 and why is DOJO not necessar… https://t.co/Gk0vYK8m2Q ,,,,
Genewhitney63, Wed Jan 27 00:14:40 +0000 2021,-75.770041,42.746617, Question for @Tesla: What is Tesla doing to improve the service experience?  Tesla HAD a reputation for outstanding… https://t.co/pd5FJzJb1a ,,,,
Genewhitney63, Wed Jan 27 00:15:04 +0000 2021,-75.770041,42.746617, Question for @Tesla: Is there still hope for Cybertruck deliveries by the end of 2021? https://t.co/vpgKFHvgDh via @Say ,,,,
Genewhitney63, Wed Jan 27 00:15:31 +0000 2021,-75.770041,42.746617, Question for @Tesla: What is the estimated quarter to release FSD to all customers who have purchased? https://t.co/n26TQQLG1h via @Say ,,,,
Genewhitney63, Wed Jan 27 00:15:54 +0000 2021,-75.770041,42.746617, Question for @Tesla: SEMI is very important to progress Tesla’s mission. What are your plans for it in 2021? When d… https://t.co/W7IrYdcJ4x ,,,,
Genewhitney63, Wed Jan 27 00:16:16 +0000 2021,-75.770041,42.746617, Question for @Tesla: Do you expect Tesla Insurance be rolled out nationwide in time for Cybertruck deliveries? Than… https://t.co/FbygCHe77Z ,,,,
Genewhitney63, Wed Jan 27 00:16:25 +0000 2021,-75.770041,42.746617, Question for @Tesla: Are you still projecting 50% Compounded Annual Growth Rate through 2030 https://t.co/tBTHOwR2M4 via @Say ,,,,
Genewhitney63, Wed Jan 27 00:16:40 +0000 2021,-75.770041,42.746617, Question for @Tesla: At what point do you estimate the Energy portion of the business will reach an equivalent size… https://t.co/cMgoqOqUyk ,,,,
Genewhitney63, Wed Jan 27 00:17:30 +0000 2021,-75.770041,42.746617, Question for @Tesla: Elon says manufacturing will be Tesla’s longterm competitive advantage, yet Sandy Munro sees m… https://t.co/NWMkHrQIAZ ,,,
Genewhitney63, Wed Jan 27 00:17:44 +0000 2021,-75.770041,42.746617, Question for @Tesla: Will Tesla Do  Stock Spit In 2021 ? https://t.co/2zppJWwRwY via @Say ,,,,
G__R2G, Wed Jan 27 00:19:37 +0000 2021,-80.233244,26.624907, That new Tesla SUV so hard I need him ,,,,
shawncarelli, Wed Jan 27 00:21:50 +0000 2021,-77.604684,41.117936, @elonmusk Cool... 10 years later.. over a million Tesla’s on the road ... some of which (25 or so) drive themselves ,,,,
Franconiarep, Wed Jan 27 00:25:35 +0000 2021,-96.961483,32.863917, I love it. You know the hedgefund managers are pulling their hair out 😁! ,,,,
Genewhitney63, Wed Jan 27 00:28:28 +0000 2021,-75.770041,42.746617," #Tesla #Tsla"" Owning TESLA Shares "" "" IS PURE DOPAMINE  "" https://t.co/TjeWNZyIqk ",,,,
lewisabateco, Wed Jan 27 00:29:31 +0000 2021,-79.420865,38.003376, She is the enemy. She just made a call on Tesla stock hours before Biden announced Fed Govt will go all electric ve… https://t.co/7ErNopattw ,,,,
